userid,continent,gender,rating,hotel
48,2,0,2.5,11
48,2,0,3.0,55
48,2,0,4.0,56
48,2,0,4.0,46
48,2,0,4.0,19
48,2,0,4.0,17
49,2,1,3.5,14
49,2,1,4.0,6
49,2,1,4.0,49
49,2,1,4.0,46
50,2,1,3.0,23
50,2,1,4.0,28
51,2,0,5.0,37
51,2,0,4.0,60
51,2,0,4.0,7
51,2,0,4.0,18
52,2,0,2.5,29
52,2,0,2.5,11
53,2,0,4.0,17
53,2,0,4.5,52
53,2,0,4.0,60
53,2,0,4.0,28
53,2,0,4.0,66
53,2,0,4.5,43
53,2,0,4.0,56
54,2,1,2.5,65
54,2,1,4.0,62
55,2,1,2.0,20
55,2,1,4.0,18
55,2,1,3.5,47
55,2,1,4.0,66
55,2,1,3.5,30
55,2,1,4.0,39
55,2,1,3.5,13
55,2,1,4.0,56
55,2,1,4.0,6
55,2,1,2.5,8
55,2,1,3.0,61
56,1,0,4.0,17
56,1,0,5.0,37
57,2,1,5.0,37
57,2,1,2.5,65
57,2,1,3.0,24
57,2,1,3.5,15
57,2,1,4.5,63
57,2,1,3.0,10
57,2,1,3.5,14
57,2,1,4.0,19
57,2,1,3.5,57
57,2,1,4.0,6
58,2,0,3.0,10
58,2,0,2.0,27
59,1,1,4.0,39
59,1,1,3.5,47
60,2,1,5.0,37
60,2,1,4.0,17
60,2,1,3.5,45
60,2,1,4.0,41
61,2,1,4.0,56
61,2,1,4.0,62
61,2,1,2.0,2
62,2,0,2.0,21
62,2,0,4.0,56
63,2,1,4.0,56
63,2,1,4.0,4
63,2,1,5.0,38
63,2,1,3.5,15
64,2,1,3.0,61
64,2,1,4.0,4
64,2,1,3.5,13
64,2,1,4.0,41
65,2,0,4.5,16
65,2,0,4.0,60
65,2,0,5.0,64
65,2,0,3.0,59
66,2,0,2.5,11
66,2,0,3.0,55
66,2,0,3.5,47
66,2,0,5.0,37
66,2,0,2.0,2
66,2,0,3.5,13
66,2,0,4.0,6
67,2,0,3.5,12
67,2,0,5.0,37
68,2,0,4.5,34
68,2,0,5.0,37
68,2,0,3.0,58
68,2,0,4.0,60
69,2,0,4.0,28
69,2,0,4.0,56
70,2,0,4.0,56
70,2,0,3.0,59
71,2,1,4.5,52
71,2,1,4.5,34
71,2,1,4.0,46
71,2,1,4.0,4
71,2,1,3.0,59
71,2,1,3.5,12
72,2,1,4.0,39
72,2,1,3.0,10
72,2,1,4.0,5
72,2,1,3.5,57
73,2,0,4.0,66
73,2,0,5.0,54
74,2,1,4.5,43
74,2,1,5.0,37
74,2,1,4.0,17
74,2,1,4.0,56
75,2,0,3.5,57
75,2,0,5.0,37
75,2,0,4.0,49
75,2,0,3.0,24
75,2,0,4.0,7
75,2,0,4.0,4
75,2,0,4.0,56
75,2,0,3.5,15
75,2,0,4.0,46
75,2,0,3.5,13
75,2,0,4.0,62
75,2,0,4.5,32
75,2,0,4.0,17
75,2,0,3.5,3
75,2,0,4.0,60
76,2,0,4.0,49
76,2,0,4.0,56
77,2,0,3.0,59
77,2,0,4.0,17
78,1,1,3.5,13
78,1,1,2.0,2
78,1,1,4.0,60
79,2,0,3.5,48
79,2,0,5.0,37
79,2,0,4.0,62
80,2,0,4.0,7
80,2,0,5.0,37
80,2,0,4.0,62
80,2,0,4.0,39
80,2,0,3.5,3
81,2,1,3.0,61
81,2,1,2.0,20
81,2,1,4.0,18
81,2,1,2.0,2
81,2,1,3.5,3
82,1,0,3.5,33
82,1,0,4.0,51
82,1,0,4.0,62
83,1,0,5.0,37
83,1,0,3.5,13
84,1,0,4.0,17
84,1,0,4.0,41
84,1,0,3.5,48
84,1,0,4.0,60
84,1,0,3.5,12
85,2,1,2.5,53
85,2,1,4.0,60
85,2,1,5.0,54
85,2,1,4.0,39
85,2,1,3.5,3
85,2,1,2.0,2
85,2,1,4.5,40
85,2,1,4.5,43
85,2,1,4.0,18
85,2,1,5.0,64
85,2,1,4.0,26
85,2,1,3.5,57
85,2,1,3.5,33
85,2,1,4.0,46
85,2,1,4.0,50
85,2,1,4.0,17
85,2,1,4.0,51
85,2,1,3.5,47
85,2,1,5.0,38
85,2,1,4.5,63
85,2,1,4.0,66
85,2,1,4.5,32
85,2,1,4.5,52
85,2,1,3.5,45
85,2,1,3.5,15
85,2,1,4.0,7
85,2,1,4.0,41
85,2,1,4.0,56
85,2,1,4.5,34
85,2,1,5.0,37
86,2,1,4.0,18
86,2,1,3.5,48
87,2,1,3.0,1
87,2,1,4.0,17
87,2,1,4.0,56
88,2,0,4.0,41
88,2,0,4.0,56
88,2,0,5.0,38
89,2,0,3.5,13
89,2,0,4.0,39
90,5,0,5.0,37
90,5,0,3.5,57
90,5,0,4.0,56
90,5,0,3.5,3
91,2,0,5.0,37
91,2,0,4.5,52
91,2,0,4.0,56
92,1,0,4.5,40
92,1,0,4.0,39
93,5,0,4.0,39
93,5,0,3.0,59
93,5,0,3.0,10
93,5,0,3.0,61
93,5,0,2.0,2
93,5,0,3.5,45
93,5,0,4.0,35
93,5,0,3.5,3
94,2,1,3.0,44
94,2,1,4.0,19
95,2,1,5.0,37
95,2,1,4.0,46
95,2,1,4.5,34
96,2,1,5.0,37
96,2,1,2.0,20
97,1,0,2.5,65
97,1,0,4.0,18
97,1,0,2.5,53
98,1,1,2.0,27
98,1,1,3.0,61
98,1,1,2.5,29
99,2,0,4.0,18
99,2,0,2.0,2
99,2,0,3.5,3
99,2,0,3.5,15
99,2,0,3.5,57
100,2,1,4.0,66
100,2,1,3.5,45
101,2,0,2.0,2
101,2,0,2.5,11
102,1,1,4.0,4
102,1,1,4.0,60
103,1,1,3.0,61
103,1,1,3.5,13
104,2,1,3.5,15
104,2,1,4.0,60
105,3,1,4.0,17
105,3,1,4.0,41
106,2,1,3.5,57
106,2,1,4.5,16
107,2,0,4.0,46
107,2,0,3.5,12
107,2,0,3.5,15
107,2,0,4.0,4
108,2,0,4.5,63
108,2,0,3.0,59
108,2,0,4.0,49
108,2,0,4.0,41
108,2,0,3.0,55
108,2,0,4.0,56
108,2,0,3.5,15
108,2,0,5.0,64
108,2,0,4.0,17
109,1,1,4.0,18
109,1,1,4.0,17
109,1,1,4.0,66
110,1,1,4.0,56
110,1,1,3.0,23
111,2,0,4.0,60
111,2,0,4.0,17
111,2,0,2.5,8
111,2,0,3.0,59
112,2,0,4.5,63
112,2,0,4.0,4
113,5,1,4.0,66
113,5,1,4.5,63
114,2,1,3.0,61
114,2,1,4.0,26
114,2,1,4.0,17
115,2,0,4.0,4
115,2,0,4.0,17
115,2,0,3.5,12
115,2,0,4.5,16
115,2,0,4.0,41
116,2,1,4.0,28
116,2,1,3.0,23
117,2,0,3.5,13
117,2,0,5.0,37
117,2,0,4.0,46
117,2,0,4.0,51
117,2,0,3.0,24
118,2,1,3.5,57
118,2,1,3.0,61
118,2,1,4.0,6
119,2,0,3.5,57
119,2,0,4.0,39
119,2,0,4.0,6
120,2,1,4.0,66
120,2,1,3.0,59
121,2,1,3.0,59
121,2,1,4.0,39
121,2,1,4.0,17
121,2,1,3.0,42
121,2,1,4.0,28
121,2,1,4.5,16
121,2,1,3.5,13
122,2,1,4.5,16
122,2,1,4.0,50
123,5,0,4.0,39
123,5,0,3.0,10
123,5,0,3.0,24
123,5,0,4.0,62
124,2,1,4.0,46
124,2,1,4.5,63
124,2,1,4.0,39
125,2,0,3.5,45
125,2,0,4.0,6
125,2,0,3.0,58
125,2,0,4.0,28
125,2,0,3.5,13
126,1,1,2.5,22
126,1,1,3.0,25
127,2,0,3.5,33
127,2,0,4.0,35
127,2,0,3.5,13
127,2,0,4.0,62
128,1,0,3.0,10
128,1,0,3.5,47
128,1,0,4.0,39
128,1,0,4.0,6
128,1,0,4.5,34
128,1,0,3.5,3
129,2,1,4.0,46
129,2,1,4.0,66
129,2,1,4.0,4
129,2,1,3.5,12
129,2,1,4.0,26
129,2,1,3.0,42
129,2,1,3.5,3
129,2,1,4.0,49
129,2,1,4.0,17
129,2,1,4.5,40
129,2,1,4.5,16
129,2,1,3.0,24
129,2,1,4.0,35
129,2,1,4.0,51
129,2,1,4.0,60
129,2,1,4.0,41
129,2,1,3.5,15
130,2,0,3.0,44
130,2,0,2.5,22
130,2,0,2.5,53
130,2,0,3.0,25
131,2,0,3.0,10
131,2,0,2.0,2
131,2,0,3.5,3
131,2,0,3.5,13
131,2,0,3.0,24
132,2,0,2.5,22
132,2,0,2.5,53
133,2,0,2.0,2
133,2,0,4.0,4
134,2,1,4.0,17
134,2,1,4.0,56
134,2,1,3.5,12
135,2,1,4.0,41
135,2,1,4.0,46
136,1,0,2.5,11
136,1,0,4.0,28
137,2,0,4.0,51
137,2,0,4.0,6
138,2,0,3.5,3
138,2,0,3.0,59
138,2,0,3.5,57
139,1,1,4.0,28
139,1,1,3.5,57
140,2,0,4.0,6
140,2,0,4.0,56
141,2,0,5.0,64
141,2,0,5.0,38
142,1,0,3.0,58
142,1,0,4.0,56
142,1,0,3.5,47
142,1,0,4.0,18
142,1,0,2.5,65
142,1,0,2.0,2
142,1,0,3.0,61
142,1,0,4.0,6
142,1,0,4.0,26
142,1,0,3.0,24
142,1,0,4.0,35
142,1,0,4.0,66
142,1,0,2.5,8
142,1,0,4.5,52
142,1,0,4.0,39
142,1,0,2.0,20
142,1,0,3.5,3
142,1,0,2.5,11
142,1,0,3.5,13
143,2,0,3.5,15
143,2,0,3.5,47
143,2,0,4.0,39
144,2,1,4.0,26
144,2,1,4.0,17
145,2,1,4.0,4
145,2,1,3.0,24
146,2,0,4.0,60
146,2,0,3.0,24
147,2,0,2.0,20
147,2,0,4.0,6
147,2,0,4.0,39
148,2,1,4.0,51
148,2,1,4.0,4
148,2,1,4.0,62
149,2,0,4.5,32
149,2,0,5.0,64
149,2,0,4.0,56
150,2,1,3.0,58
150,2,1,3.0,59
150,2,1,4.0,7
150,2,1,3.5,33
150,2,1,4.0,62
151,2,0,4.0,56
151,2,0,5.0,37
152,2,1,4.0,7
152,2,1,5.0,37
152,2,1,4.0,56
152,2,1,4.0,39
153,2,1,4.0,17
153,2,1,4.0,60
153,2,1,4.0,56
154,2,1,3.0,25
154,2,1,4.0,39
154,2,1,2.0,36
154,2,1,3.0,59
154,2,1,3.0,10
154,2,1,2.0,2
154,2,1,4.0,6
155,2,1,4.0,49
155,2,1,4.0,60
156,2,1,5.0,38
156,2,1,4.0,17
156,2,1,4.0,50
157,1,0,4.0,66
157,1,0,3.5,33
157,1,0,4.0,62
157,1,0,3.0,24
158,1,1,4.0,18
158,1,1,4.0,39
158,1,1,3.0,10
158,1,1,4.0,6
159,2,1,3.5,45
159,2,1,3.0,1
159,2,1,3.0,10
159,2,1,2.0,2
159,2,1,3.5,14
160,2,1,3.5,57
160,2,1,3.0,10
160,2,1,2.5,11
160,2,1,2.0,36
160,2,1,4.0,6
161,2,1,4.0,6
161,2,1,4.5,63
162,1,0,3.5,15
162,1,0,2.0,2
162,1,0,3.5,3
163,3,1,4.5,34
163,3,1,5.0,64
163,3,1,4.5,43
164,2,1,3.5,45
164,2,1,4.0,6
164,2,1,3.5,14
164,2,1,4.0,39
164,2,1,2.5,29
164,2,1,2.5,11
164,2,1,3.5,13
164,2,1,4.0,7
165,1,1,3.0,42
165,1,1,4.0,17
165,1,1,4.0,4
166,2,0,3.5,3
166,2,0,4.0,17
166,2,0,3.0,24
167,2,1,2.5,65
167,2,1,4.0,6
167,2,1,3.0,1
168,2,0,4.0,56
168,2,0,4.0,17
169,1,1,4.5,43
169,1,1,5.0,37
170,1,0,3.5,45
170,1,0,3.0,61
170,1,0,3.5,47
170,1,0,2.0,27
170,1,0,4.0,39
170,1,0,3.0,1
170,1,0,2.0,21
171,2,0,4.0,7
171,2,0,4.0,17
171,2,0,4.0,28
171,2,0,4.0,26
171,2,0,5.0,37
171,2,0,4.0,60
171,2,0,4.0,51
171,2,0,4.0,50
171,2,0,4.0,46
172,2,1,2.5,65
172,2,1,2.5,53
173,2,1,3.0,25
173,2,1,4.0,60
173,2,1,2.5,22
174,5,1,2.5,8
174,5,1,3.5,15
174,5,1,3.5,13
174,5,1,4.0,56
174,5,1,4.0,60
174,5,1,4.0,39
174,5,1,5.0,37
174,5,1,3.0,59
175,2,1,5.0,64
175,2,1,4.0,41
175,2,1,4.0,49
176,2,0,4.0,56
176,2,0,4.0,26
177,2,1,4.0,6
177,2,1,3.5,57
177,2,1,2.5,11
177,2,1,4.0,39
178,7,1,2.5,8
178,7,1,4.0,62
178,7,1,4.0,4
178,7,1,3.5,13
179,1,1,2.5,53
179,1,1,2.5,29
179,1,1,4.0,4
180,2,1,4.0,50
180,2,1,5.0,64
181,2,0,3.0,1
181,2,0,4.0,17
181,2,0,4.0,41
181,2,0,4.0,56
182,3,1,4.5,43
182,3,1,4.5,32
182,3,1,4.5,63
183,2,1,4.0,35
183,2,1,3.5,13
184,2,1,4.0,56
184,2,1,3.5,45
184,2,1,4.0,18
184,2,1,3.5,47
185,1,1,3.0,24
185,1,1,4.0,26
186,2,0,3.5,47
186,2,0,4.0,28
186,2,0,4.0,60
186,2,0,4.0,7
186,2,0,4.0,26
186,2,0,5.0,37
187,2,1,4.0,49
187,2,1,3.0,55
187,2,1,4.0,56
188,2,1,3.0,1
188,2,1,2.5,29
188,2,1,4.0,17
189,1,0,2.0,2
189,1,0,3.0,59
189,1,0,3.5,48
189,1,0,3.5,33
189,1,0,4.0,6
190,2,1,4.0,19
190,2,1,4.0,4
190,2,1,4.5,63
190,2,1,4.0,62
190,2,1,3.5,30
190,2,1,4.0,6
190,2,1,4.0,26
191,1,0,4.0,6
191,1,0,3.5,14
192,2,0,2.5,29
192,2,0,3.5,15
192,2,0,3.0,24
192,2,0,4.0,19
193,2,1,3.5,13
193,2,1,4.0,18
194,2,1,2.0,2
194,2,1,3.0,61
195,2,1,4.5,43
195,2,1,3.5,47
195,2,1,5.0,37
196,2,1,4.0,4
196,2,1,2.5,65
197,2,0,4.5,63
197,2,0,3.0,58
197,2,0,4.5,52
197,2,0,4.0,7
197,2,0,4.0,56
198,2,0,4.0,28
198,2,0,4.0,17
199,1,1,4.0,28
199,1,1,4.0,60
199,1,1,4.0,46
200,1,0,3.0,59
200,1,0,5.0,37
201,2,1,4.5,16
201,2,1,5.0,38
201,2,1,5.0,64
201,2,1,4.5,63
201,2,1,4.0,56
201,2,1,5.0,54
201,2,1,4.5,52
202,2,0,4.5,63
202,2,0,4.5,43
203,3,1,4.0,56
203,3,1,4.0,46
204,2,1,4.0,46
204,2,1,4.0,60
204,2,1,4.0,26
204,2,1,4.0,56
204,2,1,4.0,17
204,2,1,4.0,62
204,2,1,4.0,28
205,2,0,4.0,60
205,2,0,2.0,27
205,2,0,4.0,17
206,2,0,4.0,17
206,2,0,4.0,60
207,2,1,4.5,63
207,2,1,5.0,64
207,2,1,4.5,32
208,2,0,4.0,17
208,2,0,3.0,59
208,2,0,4.0,41
208,2,0,3.0,55
208,2,0,4.0,49
208,2,0,3.0,61
209,2,1,4.0,41
209,2,1,4.0,35
209,2,1,3.5,12
209,2,1,4.5,63
209,2,1,4.0,39
209,2,1,4.0,50
209,2,1,3.0,59
209,2,1,4.0,26
209,2,1,4.0,28
210,2,0,4.0,26
210,2,0,4.5,16
210,2,0,4.0,49
210,2,0,4.0,18
210,2,0,3.5,30
210,2,0,2.0,20
210,2,0,5.0,37
210,2,0,3.5,3
210,2,0,4.0,6
210,2,0,3.5,12
210,2,0,4.5,34
210,2,0,3.0,23
210,2,0,3.5,13
210,2,0,3.0,58
210,2,0,4.5,32
210,2,0,3.5,15
210,2,0,4.0,41
210,2,0,4.0,17
210,2,0,4.0,56
210,2,0,4.5,43
210,2,0,4.0,66
210,2,0,3.5,33
211,2,0,4.0,35
211,2,0,4.5,52
211,2,0,4.5,63
211,2,0,4.0,41
212,2,0,4.0,56
212,2,0,4.0,39
212,2,0,4.0,60
212,2,0,2.0,2
213,2,0,4.0,28
213,2,0,4.0,26
214,2,1,4.0,60
214,2,1,4.0,26
215,2,0,4.0,56
215,2,0,4.0,49
215,2,0,3.5,13
216,2,1,5.0,64
216,2,1,4.0,60
217,1,0,3.5,45
217,1,0,3.5,47
218,2,1,2.5,29
218,2,1,3.5,15
219,2,1,3.5,3
219,2,1,2.5,53
220,2,0,4.5,63
220,2,0,2.5,53
220,2,0,4.5,34
220,2,0,3.5,57
220,2,0,4.0,7
220,2,0,4.0,26
221,2,0,4.5,16
221,2,0,4.5,43
221,2,0,5.0,37
222,1,0,5.0,37
222,1,0,3.5,13
222,1,0,4.0,26
222,1,0,4.0,60
222,1,0,4.0,39
222,1,0,4.0,56
223,2,1,3.5,14
223,2,1,2.5,53
224,2,1,5.0,37
224,2,1,2.0,27
225,5,0,4.0,39
225,5,0,4.0,6
226,2,1,5.0,37
226,2,1,4.5,43
227,2,1,2.0,9
227,2,1,2.5,65
227,2,1,2.5,53
227,2,1,3.0,23
227,2,1,2.0,36
228,2,0,3.0,58
228,2,0,4.0,56
228,2,0,4.0,46
229,2,1,5.0,37
229,2,1,4.0,56
230,2,1,4.0,56
230,2,1,3.0,1
231,2,0,4.0,39
231,2,0,4.0,6
231,2,0,4.0,56
232,2,1,4.0,56
232,2,1,3.5,48
233,2,0,3.0,24
233,2,0,3.5,47
233,2,0,4.0,18
233,2,0,4.0,39
233,2,0,3.5,14
234,1,0,4.5,34
234,1,0,4.0,39
235,2,1,3.5,57
235,2,1,4.0,19
236,2,1,4.0,28
236,2,1,3.5,15
237,2,1,4.0,49
237,2,1,4.5,40
238,2,0,2.5,65
238,2,0,3.0,59
239,2,0,4.0,26
239,2,0,3.5,14
239,2,0,3.5,15
239,2,0,4.0,56
239,2,0,3.5,47
240,3,0,4.0,41
240,3,0,4.5,16
241,2,1,5.0,64
241,2,1,5.0,37
242,2,1,2.0,36
242,2,1,3.5,3
242,2,1,2.5,22
242,2,1,4.5,34
242,2,1,2.0,9
243,2,0,4.0,17
243,2,0,4.5,52
244,2,0,3.5,57
244,2,0,3.0,59
244,2,0,4.0,5
244,2,0,4.0,6
244,2,0,3.5,3
244,2,0,3.5,33
244,2,0,5.0,64
245,2,1,3.5,14
245,2,1,4.0,17
246,4,0,3.0,59
246,4,0,4.0,39
247,2,0,4.0,28
247,2,0,4.5,34
248,2,1,4.0,4
248,2,1,4.5,52
248,2,1,3.5,12
248,2,1,4.5,63
248,2,1,4.0,56
249,1,0,4.0,46
249,1,0,3.5,12
249,1,0,2.5,53
250,3,1,3.5,14
250,3,1,2.5,11
250,3,1,2.0,36
250,3,1,2.5,53
251,2,1,3.0,10
251,2,1,4.0,17
251,2,1,3.5,47
251,2,1,4.0,56
251,2,1,4.0,4
251,2,1,3.5,13
251,2,1,2.5,11
251,2,1,5.0,37
251,2,1,3.0,1
251,2,1,3.0,55
251,2,1,2.5,8
251,2,1,4.0,26
252,2,1,4.5,63
252,2,1,4.5,52
252,2,1,3.0,24
252,2,1,5.0,37
253,2,0,4.0,41
253,2,0,3.5,13
253,2,0,4.0,56
254,2,1,4.0,46
254,2,1,4.0,17
254,2,1,5.0,37
254,2,1,4.0,66
255,2,1,5.0,38
255,2,1,3.0,59
255,2,1,4.5,16
255,2,1,4.0,49
255,2,1,2.0,9
256,2,0,4.0,28
256,2,0,3.0,31
256,2,0,3.0,58
256,2,0,4.0,39
256,2,0,3.5,3
257,2,0,4.0,60
257,2,0,4.5,63
257,2,0,4.5,52
257,2,0,4.0,56
258,2,0,4.0,26
258,2,0,4.0,39
258,2,0,4.0,28
259,2,0,4.0,41
259,2,0,4.0,56
260,1,0,5.0,37
260,1,0,4.0,6
260,1,0,3.5,13
261,2,1,4.5,63
261,2,1,4.5,52
262,2,0,3.0,58
262,2,0,2.5,29
263,2,1,5.0,37
263,2,1,4.0,56
264,2,0,3.5,15
264,2,0,5.0,37
264,2,0,4.0,41
264,2,0,4.0,4
264,2,0,4.0,39
265,2,1,4.5,40
265,2,1,3.5,3
266,2,0,4.0,56
266,2,0,4.5,40
266,2,0,5.0,64
266,2,0,4.0,17
267,3,1,3.5,3
267,3,1,3.0,24
268,2,0,3.0,10
268,2,0,3.0,24
269,2,1,4.0,35
269,2,1,3.5,45
269,2,1,4.0,18
269,2,1,3.0,55
269,2,1,2.0,2
269,2,1,4.0,60
269,2,1,3.5,47
269,2,1,2.0,27
269,2,1,4.0,66
269,2,1,4.5,43
270,2,0,2.0,2
270,2,0,4.0,17
271,2,0,4.0,28
271,2,0,3.5,47
272,2,0,3.0,55
272,2,0,3.0,61
273,2,0,4.0,4
273,2,0,4.0,35
273,2,0,4.0,56
273,2,0,3.5,12
273,2,0,3.0,1
273,2,0,3.5,3
273,2,0,3.5,15
273,2,0,4.0,46
273,2,0,3.5,45
273,2,0,3.0,31
273,2,0,3.0,24
273,2,0,3.0,59
274,2,0,4.0,60
274,2,0,4.0,66
274,2,0,4.0,17
274,2,0,5.0,64
274,2,0,4.0,49
274,2,0,4.0,39
274,2,0,3.0,59
274,2,0,4.0,56
275,2,1,4.0,4
275,2,1,2.5,11
275,2,1,4.0,56
276,2,0,4.0,6
276,2,0,2.0,21
277,2,0,4.0,7
277,2,0,3.5,45
278,2,1,4.0,26
278,2,1,3.5,45
278,2,1,4.0,28
279,2,0,4.0,4
279,2,0,3.5,13
280,2,1,4.0,50
280,2,1,4.0,4
280,2,1,4.0,28
281,1,0,3.0,25
281,1,0,3.0,59
281,1,0,3.0,23
281,1,0,4.0,18
282,4,1,4.5,40
282,4,1,3.5,14
283,2,0,3.5,57
283,2,0,4.0,56
283,2,0,4.0,19
283,2,0,4.0,39
284,2,1,4.5,63
284,2,1,5.0,38
284,2,1,3.0,58
284,2,1,4.0,26
284,2,1,4.0,17
284,2,1,5.0,64
284,2,1,3.0,24
284,2,1,3.5,3
284,2,1,5.0,37
284,2,1,4.0,56
285,2,1,4.0,39
285,2,1,3.5,3
286,1,0,4.0,60
286,1,0,4.0,56
287,2,0,2.0,2
287,2,0,4.0,18
288,2,0,3.5,30
288,2,0,4.0,56
289,1,0,3.0,10
289,1,0,4.0,6
289,1,0,4.0,62
290,1,0,4.0,35
290,1,0,4.0,62
291,2,0,4.5,52
291,2,0,4.0,41
291,2,0,4.0,39
292,2,0,4.0,18
292,2,0,3.5,45
293,2,1,4.5,34
293,2,1,4.0,46
294,2,1,4.0,60
294,2,1,4.0,26
294,2,1,4.0,56
294,2,1,4.5,43
294,2,1,4.0,17
295,2,0,4.0,17
295,2,0,2.0,2
295,2,0,2.5,65
295,2,0,4.0,56
296,2,0,4.0,60
296,2,0,4.0,41
296,2,0,3.0,59
296,2,0,3.0,42
297,2,0,3.0,55
297,2,0,4.5,16
298,1,1,5.0,64
298,1,1,4.0,60
298,1,1,4.0,49
299,2,1,3.5,57
299,2,1,3.0,25
299,2,1,2.5,22
299,2,1,2.0,36
299,2,1,2.0,21
300,2,0,4.0,56
300,2,0,4.0,17
301,2,0,2.5,8
301,2,0,3.5,13
301,2,0,4.0,41
301,2,0,3.5,12
301,2,0,4.0,46
301,2,0,4.0,4
302,1,0,4.0,60
302,1,0,3.5,14
302,1,0,3.5,3
302,1,0,3.0,61
302,1,0,2.0,2
302,1,0,4.5,63
302,1,0,3.0,10
303,2,0,3.5,15
303,2,0,4.0,19
303,2,0,3.0,24
303,2,0,4.5,40
303,2,0,4.0,60
303,2,0,3.0,25
303,2,0,3.5,45
303,2,0,3.5,48
303,2,0,4.5,63
303,2,0,4.5,34
303,2,0,4.0,50
303,2,0,2.0,36
303,2,0,3.0,1
303,2,0,2.0,27
303,2,0,2.0,9
303,2,0,4.0,28
303,2,0,3.0,44
303,2,0,3.0,42
303,2,0,4.5,52
303,2,0,2.0,20
303,2,0,4.0,4
